,1,2,3,4,5,6,7,8,9,10,11,12
V99,169.5867357,5.730621819,4.819586228,111.4163778,2.897125934,3.161615306,2.866550488,25.3139232,4.736978628,4.871191238,37.68610885,8.244115599
V100,8.368816455,17.59359131,2.643304579,19.40581794,1.272864965,11.45264349,3.900699837,9.365689344,2.098653397,13.21768618,25.89360894,25.98714271
V101,2.085053964,21.29002453,3.101266522,0.90606818,2.176587472,17.43802044,15.02556306,9.990536332,5.668592895,14.21663313,2.87287791,5.200660264
V102,46.7633477,17.25681177,208.5880484,56.38911918,79.01488552,40.18978812,17.91670375,21.07475614,57.57082277,23.01498112,5.533016169,25.95911082
V103,3.55045057,12.0517257,1.765058874,5.978366623,5.952953183,7.66032247,6.723239937,2.014827187,2.05061578,2.208140581,3.728947023,2.523605761
V104,19.33161625,16.49034462,1.651576109,11.47297885,2.615924832,15.91410185,5.525777382,2.770537191,5.679940338,10.64627697,11.83584922,7.249023156
V105,18.19071096,11.7067279,3.666411611,3.361123411,4.427523401,16.03080789,7.974534984,24.79320128,1.573734957,10.579971,6.202536295,7.884139397
V106,98.73394538,16.99349801,10.69229235,7.894267897,7.487106336,40.53944832,13.65548695,30.56189275,19.59514445,16.95181021,7.798199257,25.51447022
V107,272.5917868,4.986235601,1843.973692,250.0800635,302.2354654,24.38305515,10.57594575,184.3285237,602.9680786,55.86245086,18.07353184,49.34751281
V108,1.275787395,30.57339727,0.931553876,8.309113647,11.37518093,19.91037663,5.697914372,5.781531577,2.173322996,19.72474535,12.27097361,33.09434558
V109,6.068207505,12.03265664,1.777211467,2.151947216,0.495544719,8.518624891,16.18514024,6.924140937,3.133281497,2.2703817,8.63798394,3.115889035
V110,9.543186271,31.36414198,12.50516232,22.88285081,2.042188337,17.12230336,10.91113569,11.59149123,2.795155865,39.83290484,30.48064975,36.62741447
V111,85.16112511,21.4284396,6.242258524,81.5614213,3.450688928,29.70243142,10.15454005,76.15251967,44.73628743,44.1440082,10.50935167,42.22097649
V112,3.914165256,18.91534524,28.75238343,26.65983966,22.76587271,17.22965539,34.66778184,40.25300034,13.05791017,2.174611583,7.765570005,17.11780688
V113,105.2725144,1.940287858,4253.492644,34.29187079,3580.155361,0.57977021,1.851217581,234.401498,1827.328656,28.5501794,4.853738075,7.642406372
V114,27.34692763,8.63211914,3.207744258,3.224758714,0.4730529,9.058789916,4.215276893,4.809689679,7.164071126,6.962851298,2.928890224,3.163587204
V115,9.430329941,36.25622269,4.082606237,43.08431942,15.02212163,34.99086502,79.46627378,136.0391281,29.28899801,10.88796803,3.448233114,3.379368951
V116,13.14270654,25.51482589,14.07361038,9.933017417,22.96841629,21.63788073,72.7929433,22.71731209,38.81591793,3.348414072,17.71588603,13.82814175
V117,10.62859967,18.98386687,131.2046498,13.6630195,56.73355491,24.07926077,19.87623599,4.449666265,5.14768489,15.74500579,36.25776431,30.58366194
V118,7.203064068,16.90952125,229.8214386,24.12786925,93.02893113,8.440168901,21.12077093,5.538349975,2.400237701,2.793146999,4.10595927,2.531798614
V119,5.804669572,17.09863155,4.422474409,2.727846252,17.40817144,12.4726058,6.384080942,4.937185702,8.298528675,12.44585485,13.44594074,7.811805781
