,1,2,3,4,5,6,7,8,9,10,11,12
V105,13.11318156,0.873634263,8.572354986,5.135570499,12.69923255,16.83054477,20.74656706,26.663694,5.924345519,4.735803523,14.72129738,2.344274712
V106,61.020282,14.77112479,19.46816586,8.693099973,16.50337948,40.75056355,7.818346302,36.83101088,21.06489287,6.457244604,6.861562855,21.52690489
V107,168.6729306,2161.597319,21.81586054,129.1257602,131.1505183,26.19622809,5.876201172,194.7966509,601.7302266,4.799256981,57.15718656,43.71405788
V108,11.32107542,1.931206669,32.31047348,9.848137356,4.282982255,17.26507469,4.56612717,1.459309142,3.67029789,6.178989201,21.58553808,38.76720597
V109,2.751811732,1.563481626,11.17900705,0.415242438,3.462594204,7.657753387,8.655398728,8.665052057,6.803692573,14.38587561,4.723460493,4.300717321
V110,4.49710453,13.42044174,30.66215737,3.402735944,25.1747534,14.77775488,6.020268334,12.88611294,9.780425591,41.02088299,56.9467932,36.6076607
V111,39.01933938,12.74553845,25.49647712,4.983481533,79.89622449,30.10750888,27.3179285,75.44772258,90.41197955,5.724675059,65.35608158,41.47878648
V112,2.334513123,38.52303301,18.75388932,15.34918509,30.90909568,18.52294225,27.63283949,37.6011803,3.950315317,10.40889194,2.744491256,21.68577452
V113,63.82841645,5727.62911,0.622737286,2476.1803,4.890543226,7.270067986,47.18004114,269.7789451,441.8284355,4.696657181,10.20972203,6.018976447
V114,16.5873427,4.904934813,9.254492281,0.497857704,3.681629084,7.897397481,2.765969069,6.861166302,7.089562227,4.647682041,8.305907916,6.565744572
V115,13.30623109,3.53796635,35.96741007,14.55224729,37.6428509,35.3001505,72.2646122,126.012696,59.04705184,5.359538982,3.621690031,6.83628764
V116,7.248002574,25.25259235,24.02134142,17.86290335,8.844535304,19.77173231,58.16038126,24.17066962,46.2003578,26.5358297,2.171475934,27.73235051
V117,18.36207796,141.6446212,18.29290615,38.49912927,11.02877718,25.24100038,7.24800124,1.662902618,2.729429885,47.04506129,14.9667051,35.19434056
V118,2.380982992,242.5167339,16.87177173,57.37081833,29.88418702,9.545774888,4.926809286,5.532397771,11.19246545,2.637414025,3.372402026,4.047610047
V119,1.335510785,6.027720639,16.66861894,15.67147896,12.80001444,11.68788625,2.384444061,5.802947149,8.911860971,13.78132677,10.98082823,6.50620573
V120,1.573465767,1.563314072,25.45147145,3.55073852,13.65146366,13.16220931,4.047047756,1.216693459,9.358492379,5.011574784,16.90623142,6.157098169
V121,3.002118744,13.35445874,35.93659292,7.537934339,47.28867638,37.095159,6.659601686,55.33053595,24.38391951,14.63906058,9.699693424,4.190210237
V122,37.96488155,1.211773902,18.40986011,2.305331922,36.49627418,34.88833782,26.47879759,100.9799616,10.44234055,7.181751944,2.747395391,3.798885987
V123,4.850212769,40.29003505,19.21378028,105.4988431,10.43260519,13.75030909,6.196874709,10.96654383,26.75156809,14.78419486,26.15265046,3.563365127
V124,187.4913331,31.02162499,39.33197168,27.64875583,0.676995759,51.29976148,134.1656208,142.1437941,18.66858953,5.880606726,10.8970103,1959.894151
V125,9.149534196,1.70535053,9.688538456,1.300422124,5.861707686,8.850882403,11.72522359,1.112244304,7.009565318,6.29751784,1.623141859,6.123635448
V126,257.1192785,21.7151573,6.965933523,13.13377443,182.8925648,17.26128443,7.084313971,1.342834016,110.7405385,82.0898252,9.312034665,6.132448674
